pedigree	sample	sniffles2_C2	sniffles2_C3	longcallD_C2	longcallD_C3	trgtdn_C2	trgtdn_C3	joint3_C2	joint3_C3	assembly_both_haps_no_parent	assembly_one_hap_no_parent	assembly_parent_match	assembly_total
五子代	NA12879	23	16	11	6	19	2	53	24	306	5043	7994	13343
五子代	NA12881	26	21	14	3	40	12	80	37	260	4101	7550	11911
五子代	NA12882	22	19	10	4	30	7	61	30	199	3645	7608	11452
五子代	NA12885	35	32	6	1	42	13	83	46	110	3282	7507	10899
五子代	NA12886	42	39	9	6	24	6	74	50	333	5445	8123	13901
HG002 家系	HG002	131	97	150	97	73	32	344	218	84	3091	7992	11167
